"","indicator","M49_code","country","year","value","unit"
"1","Guarantees for public access to information (SDG 16.10.2)","4","Afghanistan",2022,"1","binary"
"2","Guarantees for public access to information (SDG 16.10.2)","8","Albania",2022,"1","binary"
"3","Guarantees for public access to information (SDG 16.10.2)","20","Andorra",2022,"1","binary"
"4","Guarantees for public access to information (SDG 16.10.2)","24","Angola",2022,"1","binary"
"5","Guarantees for public access to information (SDG 16.10.2)","28","Antigua and Barbuda",2022,"1","binary"
"6","Guarantees for public access to information (SDG 16.10.2)","32","Argentina",2022,"1","binary"
"7","Guarantees for public access to information (SDG 16.10.2)","51","Armenia",2022,"1","binary"
"8","Guarantees for public access to information (SDG 16.10.2)","36","Australia",2022,"1","binary"
"9","Guarantees for public access to information (SDG 16.10.2)","53","Australia and New Zealand",2022,"2","binary"
"10","Guarantees for public access to information (SDG 16.10.2)","40","Austria",2022,"1","binary"
"11","Guarantees for public access to information (SDG 16.10.2)","31","Azerbaijan",2022,"1","binary"
"12","Guarantees for public access to information (SDG 16.10.2)","44","Bahamas",2022,"1","binary"
"13","Guarantees for public access to information (SDG 16.10.2)","50","Bangladesh",2022,"1","binary"
"14","Guarantees for public access to information (SDG 16.10.2)","112","Belarus",2022,"1","binary"
"15","Guarantees for public access to information (SDG 16.10.2)","56","Belgium",2022,"1","binary"
"16","Guarantees for public access to information (SDG 16.10.2)","84","Belize",2022,"1","binary"
"17","Guarantees for public access to information (SDG 16.10.2)","204","Benin",2022,"1","binary"
"18","Guarantees for public access to information (SDG 16.10.2)","68","Bolivia (Plurinational State of)",2022,"1","binary"
"19","Guarantees for public access to information (SDG 16.10.2)","70","Bosnia and Herzegovina",2022,"1","binary"
"20","Guarantees for public access to information (SDG 16.10.2)","76","Brazil",2022,"1","binary"
"21","Guarantees for public access to information (SDG 16.10.2)","100","Bulgaria",2022,"1","binary"
"22","Guarantees for public access to information (SDG 16.10.2)","854","Burkina Faso",2022,"1","binary"
"23","Guarantees for public access to information (SDG 16.10.2)","124","Canada",2022,"1","binary"
"24","Guarantees for public access to information (SDG 16.10.2)","62","Central and Southern Asia",2022,"12","binary"
"25","Guarantees for public access to information (SDG 16.10.2)","152","Chile",2022,"1","binary"
"26","Guarantees for public access to information (SDG 16.10.2)","156","China",2022,"1","binary"
"27","Guarantees for public access to information (SDG 16.10.2)","170","Colombia",2022,"1","binary"
"28","Guarantees for public access to information (SDG 16.10.2)","184","Cook Islands",2022,"1","binary"
"29","Guarantees for public access to information (SDG 16.10.2)","188","Costa Rica",2022,"1","binary"
"30","Guarantees for public access to information (SDG 16.10.2)","384","Côte d'Ivoire",2022,"1","binary"
"31","Guarantees for public access to information (SDG 16.10.2)","191","Croatia",2022,"1","binary"
"32","Guarantees for public access to information (SDG 16.10.2)","196","Cyprus",2022,"1","binary"
"33","Guarantees for public access to information (SDG 16.10.2)","203","Czechia",2022,"1","binary"
"34","Guarantees for public access to information (SDG 16.10.2)","208","Denmark",2022,"1","binary"
"35","Guarantees for public access to information (SDG 16.10.2)","214","Dominican Republic",2022,"1","binary"
"36","Guarantees for public access to information (SDG 16.10.2)","753","Eastern and South-Eastern Asia",2022,"9","binary"
"37","Guarantees for public access to information (SDG 16.10.2)","218","Ecuador",2022,"1","binary"
"38","Guarantees for public access to information (SDG 16.10.2)","222","El Salvador",2022,"1","binary"
"39","Guarantees for public access to information (SDG 16.10.2)","233","Estonia",2022,"1","binary"
"40","Guarantees for public access to information (SDG 16.10.2)","231","Ethiopia",2022,"1","binary"
"41","Guarantees for public access to information (SDG 16.10.2)","513","Europe and Northern America",2022,"44","binary"
